age,fnlwgt,capital-gain,capital-loss,hours-per-week,education-num,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
23.1504,355653.19902,21314.54576254,1253.838128768,10.213156,16.8303987, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male, Iran,50K-
22.3945,5157.29015,14125.61619103,287.842057351,11.102439,9.60236722, Self-emp-not-inc, 1st-4th, Divorced, ?, Unmarried, White, Male, Canada,50K-
52.61357,299168.83725,4386.5823671,169.697773569,76.912902,12.26935118, Local-gov, 1st-4th, Separated, Transport-moving, Other-relative, White, Male, Puerto-Rico,50K-
30.77433,98644.83208,7929.5611609,1238.917383548,69.547418,8.60166574, ?, Doctorate, Divorced, Other-service, Other-relative, Amer-Indian-Eskimo, Female, Mexico,50K-
11.19051,119.69385,3650.89961911,516.916949122,45.016372,11.95773751, Private, 11th, Divorced, Prof-specialty, Other-relative, Asian-Pac-Islander, Female, China,50K-
43.58057,273100.98619,16552.99810892,1189.604397066,16.532767,7.03306685, Local-gov, Bachelors, Never-married, Craft-repair, Unmarried, Black, Male, Yugoslavia,50K-
34.39347,467489.98155,19215.21525543,0.008175313,64.236754,3.47263799, Federal-gov, Assoc-voc, Never-married, Exec-managerial, Other-relative, Black, Female, Trinadad&Tobago,50K-
72.3145,415989.29626,12120.60343731,1491.690068033,19.098467,10.66046293, Local-gov, 7th-8th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female, United-States,50K-
28.68223,500263.37001,3854.09242966,1328.067205665,75.272345,12.69970385, Private, Assoc-voc, Separated, Other-service, Other-relative, Amer-Indian-Eskimo, Female, Puerto-Rico,50K-
20.74467,277308.67394,0.39028868,760.639118184,15.944371,17.82500447, Without-pay, Masters, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female, Italy,50K-
0.10626,120239.37134,7123.04737895,1284.644811878,44.094317,14.97522232, ?, 11th, Never-married, Tech-support, Own-child, White, Female, United-States,50K-
21.42751,450883.57004,3262.72229519,653.175393071,25.69677,10.60512236, State-gov, HS-grad, Separated, Exec-managerial, Husband, Black, Female, England,50K-
57.0589,208038.81939,15342.74923265,228.77869576,83.008791,10.48748013, Without-pay, HS-grad, Divorced, Protective-serv, Husband, White, Female, Portugal,50K-
15.75566,16402.88032,8410.33506345,57.920394983,49.302516,7.97572756, Self-emp-inc, 7th-8th, Separated, Tech-support, Wife, Other, Female, South,50K-
17.62855,171100.64189,4795.53359592,4.395829865,47.694517,10.87464938, ?, Bachelors, Married-AF-spouse, Armed-Forces, Husband, White, Male, Dominican-Republic,50K-
17.03436,119.69385,4636.80170843,403.377090585,0.441878,12.20001174, Private, HS-grad, Widowed, ?, Unmarried, White, Female, Hong,50K-
43.31649,426397.8101,17974.97731855,528.609907583,28.144212,7.68075013, Without-pay, 1st-4th, Widowed, Priv-house-serv, Own-child, Other, Male, Philippines,50K-
79.26976,126890.34237,3959.24442398,934.564013093,57.277273,14.23763611, Never-worked, Masters, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female, Portugal,50K-
28.62432,448443.99402,0.39028868,0.008175313,55.362043,10.15805357, Private, 5th-6th, Widowed, Armed-Forces, Wife, Asian-Pac-Islander, Male, South,50K-
28.70142,376076.77976,2508.49306473,974.427172198,58.440091,9.679387, Federal-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Unmarried, White, Female, Columbia,50K-
48.50319,47391.59988,7592.88649151,0.008175313,56.467008,11.71719893, Federal-gov, 9th, Separated, Machine-op-inspct, Unmarried, Black, Male, France,50K-
13.78335,310695.96529,3221.53598648,934.908640673,65.783157,15.08478472, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Unmarried, White, Male, Scotland,50K-
6.42456,119.69385,880.09682302,761.602935034,42.842705,16.44535244, Self-emp-inc, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, Ireland,50K-
31.67914,466748.25798,13317.09556759,219.494414671,59.373008,6.04793578, Private, Masters, Married-AF-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female, Japan,50K-
23.63075,119.69385,5309.6892064,1331.258368998,19.916676,7.96992254, Without-pay, Assoc-acdm, Separated, Other-service, Husband, Other, Female, Peru,50K-
65.1338,13088.54557,12155.25056796,1263.20996913,36.886222,7.88131913, ?, Assoc-acdm, Divorced, Transport-moving, Other-relative, Other, Male, Canada,50K-
79.82114,388080.41561,542.39458219,617.33615379,22.474629,8.10295142, Private, HS-grad, Divorced, Protective-serv, Own-child, Black, Male, Mexico,50K-
28.01163,121232.96016,21074.73550368,1454.864764166,2.270663,5.05205813, ?, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male, Outlying-US(Guam-USVI-etc),50K-
73.59403,295663.11641,24579.94597833,1411.428148996,6.934668,11.46238246, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Husband, White, Female, United-States,50K-
72.79222,354302.43379,21656.48477281,668.647648466,82.214718,11.26578234, State-gov, 12th, Never-married, ?, Other-relative, Amer-Indian-Eskimo, Female, Italy,50K-
83.74644,526043.03966,1155.85432016,1135.928246842,6.382158,11.50397212, Private, Preschool, Married-spouse-absent, Protective-serv, Husband, Amer-Indian-Eskimo, Male, Laos,50K-
11.07121,261753.63671,15654.06745345,1125.867628405,80.091328,14.06097252, Never-worked, 5th-6th, Widowed, Priv-house-serv, Unmarried, White, Male, China,50K-
0.10626,119.69385,27144.6797097,805.721470276,51.200523,10.56020909, Local-gov, 9th, Widowed, Protective-serv, Not-in-family, White, Male, Poland,50K-
36.14786,10774.81356,22579.18593973,116.349880856,43.122347,10.98164505, Never-worked, 10th, Widowed, Sales, Other-relative, Black, Male, Ireland,50K-
13.46903,170032.12914,10873.61078898,0.008175313,39.49878,9.2059417, Without-pay, Doctorate, Divorced, Prof-specialty, Own-child, Asian-Pac-Islander, Male, United-States,50K-
57.40863,304052.20894,4402.10755752,970.454367485,63.246146,9.51344447, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Wife, White, Female, Canada,50K-
