dteday,holiday,weekday,workingday,season,yr,mnth,hr,temp,atemp,hum,windspeed,weathersit,cnt
14.288549423,0.09917622805,3.3395459652,0.46973505616,2.570188761,0.58638834953,3.1365554333,6.755559444,0.7695584893,0.43205258,0.490588814,0.2522560358,1,146.198
2.964645624,0.11995684355,2.5719892979,1.27537298203,3.14470911,0.08188422769,9.9548006058,9.130740166,0.6600995064,0.61399299,0.910990715,0.13843822479,1,177.214
10.668860435,0.2826411128,0.5802150965,0.70294576883,2.108767271,0.60294163227,6.4773373604,5.898885727,0.3102986217,0.40101135,0.6825036407,0.07429336011,1,118.968
11.447814941,0.02945210971,0.243732214,1.7515103817,2.539467335,0.28943735361,7.261493206,6.037063599,0.3584114909,0.48948586,0.7492150664,0.12881854177,1,98.41
19.144189835,0.18908166885,2.7024524212,0.0402780734,3.689921856,0.396820575,7.1035895348,0.241189763,0.2127946764,0.56491238,0.6292378306,0.22173596919,2,100.482
1.934285402,0.01344263088,2.0378620625,1.01529490948,2.635745287,1.03090512753,4.0998826027,5.540323257,0.6019784808,0.59732544,0.7456704974,0.05918679014,1,139.608
26.740362167,0.03708252311,2.6954524517,0.50357997417,3.049926281,0.14841006696,7.0253214836,9.987607956,0.35331738,0.50358725,0.9672648311,0.0834248215,3,137.528
23.713956833,0.03486080095,3.2601919174,1.13765740395,1.56045723,0.54601067305,10.463060379,6.480652332,0.3582674265,0.36200121,0.8051323891,0.48934075236,1,119.408
5.584588528,0.13882632554,3.2408807278,1.00834572315,0.993848264,0.27118590474,2.4962542057,6.540561676,0.3959913254,0.45252088,0.5960600376,0.30237266421,1,120.79
24.847402573,0.10332362354,3.2384374142,0.40766832232,3.560925722,0.31124842167,4.1524729729,22.311243057,0.5654674172,0.13308291,0.8773913383,0.0968580097,1,129.586
25.538341522,0.03680683672,4.0057091713,0.26410344243,3.020697594,0.60270357132,6.1520605087,1.16389966,0.5400684476,0.39321694,0.4516990781,0.27144014835,2,93.924
14.518090248,0.07486739755,6.0670313835,0.88287842274,3.130556345,0.05303029716,9.8441009521,5.97284174,0.6618837714,0.56738657,0.6541684866,0.23632864654,2,92.2
13.482506752,0.17425371706,5.6605892181,0.39831104875,3.127631664,0.40160468221,6.331299305,7.286037922,0.4587710798,0.46371746,0.3682884574,0.11683214456,1,124.424
10.668860435,0.2826411128,0.5802150965,0.70294576883,2.108767271,0.60294163227,6.4773373604,5.898885727,0.3102986217,0.40101135,0.6825036407,0.07429336011,1,118.968
13.07298851,0.11691495776,2.8704416752,0.90562415123,1.875136733,0.23409223557,3.3352451324,9.222585678,0.4531686604,0.27130535,0.8429312706,0.24615630507,1,136.832
10.594649315,0.17256085575,0.0031844433,0.61956322193,4.906868935,0.72419583797,0.0107981125,5.942195415,0.7247454524,0.5376851,0.6251239777,0.14833396673,1,123.784
10.436175346,0.17875722051,1.5425459146,0.45844978094,2.528414726,0.37308943272,6.3195700645,8.743490219,0.4236858785,0.44373655,0.7191667557,0.22461022437,1,168.02
14.288549423,0.09917622805,3.3395459652,0.46973505616,2.570188761,0.58638834953,3.1365554333,6.755559444,0.7695584893,0.43205258,0.490588814,0.2522560358,1,146.198
