dteday,holiday,weekday,workingday,season,yr,mnth,hr,temp,atemp,hum,windspeed,weathersit,cnt
13.669451,0.0805526376,0.0001152,1.4778090715,2.77043962479,0.4732294679,0.0031662101,13.0115871429,0.58590751886,0.46844617,0.8532556295,0.1003605872,2,180.1795252336394
0.003958,0.2117833495,0.0001152,0.0008659008,2.97060823441,1.1811227798,0.0031662101,14.713596344,0.30506011844,0.00278706,0.7635768652,0.1926225871,1,84.8717702474332
21.231251,0.1044816524,2.1735034,0.6372894645,2.15346431732,1.0355719328,3.3084220886,14.3309221268,0.69125956297,0.42026243,0.7628732324,0.2976129949,1,103.06107764035487
11.257033,0.0030140572,0.9235098,1.4195486307,0.94182050228,0.1532200277,3.6768326759,18.7388057709,0.46183550358,0.54827911,0.8760407567,0.1505541801,1,93.89693768237308
10.221794,0.0642474815,2.8391228,0.990684092,1.45208108425,1.0906116962,6.919210434,15.2305116653,0.48113304377,0.51102269,0.7370800972,0.3178291917,1,194.7350193366175
23.037361,0.2615844309,3.2039421,0.1062098369,3.79843091965,0.0378217697,7.0650196075,9.3757753372,0.20500336587,0.71215248,0.6348280907,0.3146241903,1,118.27919668397404
14.425091,0.0677372441,3.9478486,1.5179777145,1.5314899683,0.1066060886,4.7792973518,18.9129619598,0.51062631607,0.48299578,0.5789981484,0.294008553,1,152.59128571988148
19.344248,0.0643609986,2.9503028,1.0513198376,4.65772819519,2.80623e-05,8.6688804626,9.1103124619,0.45111095905,0.67095125,0.3612315953,0.3587054312,1,83.85351316229153
17.941179,0.129057005,1.8870838,0.5669357777,2.52416682243,0.796818614,5.4807734489,13.5947504044,0.39561286569,0.12456814,0.7315790653,0.1076874435,1,102.55620403499125
0.003958,0.1615882069,0.0001152,1.302734971,0.37803500891,0.5604474545,6.7345776558,17.1164493561,0.21841202676,0.52165598,0.3588252664,0.1559781283,2,106.13297594211937
3.150892,0.1562164873,3.621388,1.3627692461,2.2647061348,0.2311481088,9.2156105042,18.2908477783,0.23055301607,0.59380341,0.6101725101,0.1583380401,1,73.72203997763998
19.12631,0.050615862,0.4131077,1.4924134016,3.1167371273,0.2875682414,8.1886949539,18.2213096619,0.56000709534,0.81537277,0.8901001811,0.0661276579,1,129.7256117002637
14.425091,0.0677372441,3.9478486,1.5179777145,1.5314899683,0.1066060886,4.7792973518,18.9129619598,0.51062631607,0.48299578,0.5789981484,0.294008553,1,152.59128571988148
0.003958,3.74821e-05,0.0001152,0.2586815357,0.00096000585,2.80623e-05,0.0031662101,7.3308301272,0.31183090806,0.00278706,0.0046170675,8.08853e-05,3,108.97055589680313
26.715437,0.0687786415,4.2215018,0.4750614464,2.80278873444,0.2889131308,2.5183577538,6.8419594765,0.51567226648,0.42065147,0.5502395034,0.1631024033,2,70.56899947812123
4.254466,0.0196832065,2.9144976,0.5085757375,1.58031880856,0.3298303187,2.4892218113,7.3074450493,0.6460955143,0.29022098,0.5395357013,0.2627452612,2,76.54365604471629
18.451641,0.0887261182,0.1310726,0.4625675082,2.54969358444,0.572142601,8.0317440033,10.6982555389,0.40015885234,0.62242746,0.8828985691,0.0939827636,1,101.61812860991972
0.612455,0.3935171163,8.9990122,1.1166018032,0.71444584133,1.0020465039,0.0105975296,17.1143470569,0.35029188157,0.68702406,0.2123997593,0.3404082503,1,101.5722567460734
3.150892,0.1562164873,3.621388,1.3627692461,2.2647061348,0.2311481088,9.2156105042,18.2908477783,0.23055301607,0.59380341,0.6101725101,0.1583380401,1,73.72203997763998
19.517069,0.0732317641,2.1914647,0.9161585569,1.23402786255,0.8266701698,11.7938489914,16.1900291443,0.75044131279,0.63272107,0.4651154578,0.2197745144,1,152.97062865249987
21.513363,0.1453677416,3.9779136,1.5983593464,3.31680297852,0.2409894019,6.0349340439,21.3904342651,0.52893340588,0.64672506,0.6959332228,0.1039407402,2,71.16320510051659
4.552418,0.062947318,5.1810555,0.0008659008,3.10964798927,2.80623e-05,5.8644018173,0.0021030544,0.77284198999,0.38308671,0.744453609,8.08853e-05,1,71.58384624728143
7.757134,0.2770933211,3.1298265,1.2459695339,0.94804608822,1.2975934744,9.053278923,18.4557189941,0.62454366684,0.7165935,0.5718562603,0.2041700631,1,172.9490181906045
23.822151,0.0978281349,0.3682815,1.2166132927,1.77581834793,1.5117990971,5.4857950211,19.2496967316,0.53738951683,0.56329191,0.6380594373,0.0772865415,1,93.31166121887466
